"","rate","views","length","ratings"
"2347",5,"179","298",1
"2348",5,"371","298",2
"2349",0,"52","298",0
"2350",4.53,"4116","248",32
"2351",4.62,"2219","326",13
"2352",4.5,"123","361",2
"2353",4.5,"1248","203",2
"2354",5,"629","245",10
"2355",0,"155","225",0
"2356",0,"78","64",0
"2357",5,"89","185",2
"2358",5,"273","206",1
"2359",5,"250","166",1
"2360",5,"130","228",1
"2361",5,"916","486",5
"2362",5,"68","213",5
"2363",5,"4564","187",24
"2364",4.16,"2327","180",19
"2365",4.83,"320","437",6
"2366",5,"4599","191",32
"2367",4,"2777","80",4
"2368",5,"35","253",1
"2369",0,"165","251",0
"2372",0,"34","250",0
"2373",5,"306","314",2
"2374",5,"2041","225",3
"2375",4.79,"9391","280",19
"2376",4.96,"6452","218",23
"2377",3.67,"186","244",3
"2378",3.5,"2027","264",10
"2379",5,"500","338",4
"2380",4.67,"16547","222",27
"2381",3,"1444","176",2
"2382",4,"443","187",4
"2383",5,"323","242",1
"2384",4.78,"7335","138",9
"2385",3.45,"43864","141",109
"2386",4.14,"3522","270",7
"2387",5,"903","91",8
"2388",3.68,"3513","270",19
"2389",4,"565","227",4
"2390",5,"386","205",1
"2393",4.1,"19165","201",109
"2394",3.86,"2808","204",21
"2395",4,"1830","221",3
"2396",5,"603","139",4
"2397",5,"97","46",1
"2398",0,"638","148",0
"2399",5,"1156","301",3
"2400",5,"138","278",1
"2401",0,"32","261",0
"2402",0,"57","237",0
"2405",2.33,"1291","31",3
"2406",0,"224","109",0
"2407",4.75,"1179","274",4
"2408",0,"113","174",0
"2409",4.74,"3385","181",19
"2410",5,"1429","165",5
"2411",5,"1101","250",2
"2412",4.85,"12842","194",53
"2413",4.64,"4640","207",11
"2414",5,"577","254",1
"2415",5,"102","251",1
"2416",5,"13","249",1
"2417",3.4,"7422","208",5
"2418",4.69,"40374","204",144
"2419",5,"998","280",5
"2420",3.77,"16425","33",13
"2421",4.73,"53877","239",110
"2422",4.28,"65225","328",168
"2423",5,"237","171",1
"2424",3.33,"6999","325",6
"2425",5,"1157","174",4
"2426",5,"224","159",2
"2427",5,"3379","362",9
"2428",4.64,"7953","224",22
"2429",4.83,"70540","203",93
"2430",4.54,"42406","247",72
"2431",4.8,"1490","187",5
"2432",2.33,"923","259",3
"2433",4.64,"13083","336",25
"2434",4.72,"14123","305",18
"2439",3.7,"1743","131",10
"2440",4.8,"3399","261",44
"2441",4.8,"19956","193",46
"2462",4.82,"637","25",34
"2471",4.71,"9191","128",7
"2478",5,"330","311",28
"2479",4.67,"456","16",12
"2480",3.74,"1228","201",19
"2481",4.93,"126","161",14
"2482",4.38,"272","114",13
"2485",4.41,"470","187",17
"2486",4.9,"172","277",20
"2489",4.72,"423","201",57
"2490",0,"69","74",0
"2493",4.67,"121","23",3
"2496",4,"128","458",4
"2501",4.8,"106","191",15
"2504",0,"19","83",0
"2505",4.95,"432","144",37
"2506",4.9,"506","190",30
"2509",4.95,"1048","182",155
"2510",4.5,"2303","96",8
"2511",4.68,"893","607",109
"2516",4.99,"1332","112",162
"2519",5,"156","144",1
"2522",5,"86","226",4
"2525",5,"37","455",1
"2526",3,"129","237",4
"2527",4.78,"276","261",36
"2528",0,"526","14",0
"2529",5,"4286","8",1
"2530",5,"345","111",1
"2531",0,"491","28",0
"2532",5,"438","267",4
"2533",0,"26","220",0
"2534",4,"193","32",1
"2535",4.64,"44722","203",56
"2536",5,"4875","244",1
"2537",3.67,"19563","11",3
"2538",5,"82","174",1
"2539",3.56,"9797","47",9
"2544",3.5,"534","126",2
"2545",1,"77","203",1
"2546",5,"9621","69",2
"2547",0,"114","46",0
"2552",4.85,"1355","247",26
"2555",4.1,"9564","91",31
"2556",2.67,"858","320",3
"2557",0,"153","218",0
"2558",0,"426","120",0
"2559",0,"678","58",0
"2560",5,"1275","346",4
"2561",3.12,"19148","195",41
"2562",4.64,"561","71",11
"2563",3,"2068","54",5
"2564",0,"52","17",0
"2565",4.5,"853","13",2
"2566",5,"32","82",2
"2567",4.81,"49992","426",339
"2568",0,"32","313",0
"2569",5,"183","90",1
"2570",5,"65","48",1
"2571",4.5,"2148","115",4
"2572",3,"32673","15",2
"2573",5,"6157","227",6
"2574",4.43,"2495","819",7
"2575",4.67,"1547","310",3
"2576",5,"421","6",2
"2579",3,"145","11",2
"2582",2.4,"15138","34",10
"2583",5,"1662","140",1
"2586",4.89,"216992","310",359
"2587",4.76,"120244","211",95
"2588",4.91,"78650","266",153
"2589",4.83,"96122","312",221
"2590",4.83,"37687","298",35
"2591",4.77,"72347","162",35
"2592",4.86,"70825","209",150
"2593",4.73,"81180","151",104
"2594",4.89,"108191","205",205
"2595",4.91,"61183","283",95
"2596",4.59,"76687","329",90
"2597",4.81,"81681","316",103
"2598",4.81,"147470","335",248
"2601",4.93,"51922","254",95
"2602",4.81,"37379","246",57
"2605",4,"4767","191",1
"2608",4.81,"24876","58",16
"2621",4,"421","397",1
"2628",5,"461","63",1
"2631",5,"9095","21",4
"2632",5,"343","297",2
"2637",0,"239","21",0
"2638",0,"89","46",0
"2639",0,"2087","20",0
"2640",4.68,"9147","408",25
"2641",0,"19","136",0
"2642",5,"2046","191",18
"2643",5,"4232","202",2
"2644",4.92,"20612","184",12
"2645",0,"177","21",0
"2646",5,"10131","505",22
"2647",4.75,"3829","488",20
"2648",5,"1672","390",6
"2649",4.6,"1505","73",15
"2650",4.67,"116","209",6
"2653",4,"74","65",4
"2654",0,"541","91",0
"2655",4.2,"237","42",10
"2656",0,"86","63",0
"2657",0,"29","99",0
"2658",4.56,"3749","276",9
"2659",4.92,"4045","37",12
"2660",5,"2448","160",12
"2661",3.75,"1277","147",4
"2662",5,"1080","184",3
"2663",3.67,"1362","27",3
"2664",3.77,"3517","270",22
"2665",4.5,"2347","9",2
"2666",4.27,"7662","284",15
"2667",4.82,"1967","229",11
"2668",4.33,"1063","82",3
"2669",1.88,"98989","296",301
"2670",4.94,"15163","306",54
"2671",4.9,"19974","126",72
"2672",3.67,"576","20",3
"2673",0,"739","14",0
"2674",3.7,"19416","288",56
"2675",3.45,"7899","85",22
"2676",4.85,"154681","128",285
"2677",2.17,"1493","57",6
"2678",4.86,"39293","133",104
"2679",2,"5109","141",18
"2680",4.12,"9275","60",8
"2681",3.94,"2175","444",18
"2682",4.7,"11718","122",20
"2683",4.89,"19965","349",63
"2684",4.4,"1599","48",5
"2685",3,"1247","63",2
"2686",0,"1303","284",0
"2687",4.7,"27190","339",23
"2688",3.5,"5529","327",4
"2689",5,"3353","47",2
"2690",2.75,"2973","24",4
"2693",0,"1831","100",0
"2700",0,"5661","202",0
"2705",4.17,"7697","362",6
"2706",5,"2609","364",1
"2761",4.5,"943","62",4
"2766",0,"110","16",0
"2769",0,"650","40",0
"2786",5,"857","42",4
"2787",0,"202","14",0
"2794",5,"1029","153",8
"2797",4.8,"1008","31",5
"2798",0,"282","76",0
"2809",5,"690","193",4
"2820",5,"6136","40",3
"2823",5,"4963","111",3
"2830",1.8,"2580","159",5
"2833",5,"1389","423",3
"2834",0,"582","437",0
"2835",5,"7279","63",1
"2842",1,"1231","3",3
"2843",4,"736","27",1
"2844",5,"581","219",1
"2845",0,"165","251",0
"2846",3,"311","110",2
"2847",5,"6734","302",14
"2850",0,"512","78",0
"2851",0,"328","34",0
"2852",5,"7210","598",1
"2853",4.5,"8410","197",8
"2864",4,"646","511",2
"2873",0,"97","101",0
"2874",5,"1873","39",3
"2879",0,"156","148",0
"2882",5,"197","595",2
"2887",5,"193","145",1
"2888",5,"281","590",1
"2889",5,"412","609",3
"2898",5,"201","601",5
"2901",5,"187","211",5
"2906",5,"274","608",3
"2911",3.12,"10042","132",8
"2922",5,"696","30",3
"2923",0,"770","241",0
"2924",4.5,"8229","637",12
"2925",5,"5605","552",8
"2932",3,"148","99",2
"2935",5,"1930","37",1
"2942",4.35,"27785","555",23
"2945",5,"389","124",1
"2956",5,"1823","81",2
"2957",0,"89","15",0
"2968",3,"1308","578",2
"2969",3,"3144","92",2
"2970",5,"979","27",1
"2973",4.67,"2344","102",3
"2974",0,"167","39",0
"2977",0,"270","34",0
"2978",0,"840","80",0
"2979",0,"699","15",0
"2982",0,"235","359",0
"2985",0,"445","444",0
"2988",5,"3463","100",2
"2989",0,"72","78",0
"2994",4.86,"3801","280",7
"2995",4.33,"7488","211",9
"2996",5,"83","122",1
"3005",0,"612","19",0
"3006",0,"196","68",0
"3013",4.5,"997","145",6
"3018",0,"79","20",0
"3025",0,"98","136",0
"3032",0,"100","20",0
"3061",4.95,"1062","57",20
"3072",4.6,"3093","246",10
"3073",5,"2682","565",7
"3074",5,"4622","102",3
"3075",4.8,"1341","549",5
"3076",5,"3968","496",5
"3077",4.5,"6893","615",8
"3078",0,"519","471",0
"3079",4.43,"5455","333",7
"3080",3,"3480","10",2
"3081",5,"2436","209",1
"3082",4.67,"4271","65",3
"3083",5,"1312","552",1
"3084",5,"8033","102",4
"3085",2.53,"8175","33",15
"3086",5,"1737","564",6
"3089",4,"8317","109",4
"3090",0,"172","40",0
"3091",0,"50","37",0
"3092",0,"91","93",0
"3093",0,"311","143",0
"3096",3.67,"3280","35",3
"3101",4.5,"156","174",4
"3102",0,"355","337",0
"3107",5,"281","59",1
"3118",1,"228","294",2
"3129",3.71,"2879","198",17
"3130",2.67,"647","97",12
"3131",4,"391","47",4
"3132",4,"1427","40",4
"3133",4.51,"10754","221",43
"3134",3.86,"4236","82",14
"3137",4.8,"6530","187",25
"3138",4.54,"4646","168",24
"3139",4.19,"3425","340",16
"3140",4.85,"2409","157",13
"3141",5,"364","3",1
"3142",5,"459","236",1
"3143",4.29,"4321","169",28
"3144",4.18,"3388","126",11
"3145",4.64,"7084","82",33
"3146",4.86,"4474","98",14
"3147",4.27,"61284","134",450
"3148",3.9,"2541","95",29
"3149",2.17,"318","88",6
"3150",4.2,"700","108",10
"3151",4,"321","131",2
"3152",4.28,"22716","197",216
"3153",4.11,"1147","229",9
"3154",3.64,"2249","196",14
"3155",2.62,"1612","272",13
"3156",3.79,"1076","211",14
"3157",4.28,"19643","236",162
"3158",5,"1622","345",8
"3159",4.4,"9189","261",101
"3160",4.86,"2243","203",99
"3161",4.68,"2073","195",19
"3162",4.93,"3145","201",29
"3163",4.77,"1046","158",106
"3164",4.93,"1411","153",29
"3165",4.95,"957","151",19
"3166",5,"1552","301",2
"3167",4.5,"246","177",4
"3168",4.98,"615","220",49
"3169",5,"634","289",11
"3170",4.71,"813","172",17
"3171",4.85,"3736","199",160
"3172",5,"348","253",3
"3173",2,"289","180",2
"3174",4,"521","271",4
"3175",5,"457","167",11
"3176",5,"387","177",6
"3177",5,"253","279",6
"3178",4.91,"283","152",23
"3179",5,"196","111",7
"3180",5,"89","506",3
"3181",5,"313","186",7
"3182",4.74,"6433","266",57
"3183",5,"307","165",11
"3186",4.05,"5363","244",21
"3193",5,"445","138",3
"3194",3.78,"9543","331",9
"3195",4.46,"5397","138",65
"3196",4.83,"341","152",12
"3197",2.62,"450","229",8
"3198",4.69,"4053","264",62
"3199",4.81,"1961","220",62
"3200",4.57,"4381","144",23
"3201",3.2,"174","359",5
"3202",4.95,"1679","249",59
"3203",3,"557","224",2
"3206",3,"124","104",2
"3207",4.61,"2386","194",62
"3208",3.62,"3554","222",13
"3209",0,"284","15",0
"3210",3.47,"86272","235",193
"3211",0,"1532","121",0
"3214",4.52,"57759","250",462
"3215",4.83,"315","326",6
"3216",4.75,"458","197",8
"3217",5,"178","233",3
"3218",4.25,"319","127",4
"3219",4,"291","171",1
"3222",4.83,"1359","156",6
"3223",4.88,"13021","400",32
"3224",4.7,"837","183",10
"3227",5,"57","109",1
"3228",5,"185","100",2
"3231",4.45,"5336","324",29
"3232",4.88,"5063","321",56
"3233",3.2,"3589","218",10
"3234",3.83,"1311","657",6
"3235",5,"1653","181",5
"3236",5,"795","202",1
"3239",4.71,"1421","216",17
"3240",4.84,"6574","188",43
"3241",4.26,"9654","381",34
"3242",4.39,"140747","88",381
"3243",5,"651","410",5
"3244",4.71,"31600","95",45
"3245",4.43,"296","112",7
"3246",5,"353","201",1
"3247",4.6,"3018","191",10
"3250",4.44,"649","341",16
"3251",5,"525","170",6
"3252",3,"160","207",4
"3253",3.4,"199","178",5
"3254",0,"102","221",0
"3255",4.63,"2033","305",27
"3256",4.88,"8774","308",8
"3257",5,"127","83",1
"3258",5,"386","217",6
"3261",4.92,"4044","149",13
"3264",5,"399","247",1
"3265",5,"1012","173",2
"3266",4,"507","254",4
"3267",3.25,"1295","500",4
"3268",5,"1215","291",6
"3269",5,"1159","296",6
"3270",4.33,"5856","401",21
"3271",4.09,"1632","221",11
"3272",4.5,"2152","511",8
"3273",4.73,"15057","246",30
"3274",4.25,"1408","117",4
"3275",4.9,"2941","625",10
"3276",4.75,"815","171",8
"3277",4.43,"960","230",7
"3278",4.93,"2146","385",14
"3279",4.33,"559","294",3
"3280",4.86,"3132","219",28
"3287",3.6,"1261","111",5
"3288",5,"1500","83",4
"3291",3.8,"1259","77",5
"3292",5,"602","77",5
"3293",5,"434","212",5
"3296",4,"394","168",5
"3297",1,"41","137",1
"3298",3.75,"7524","26",36
"3299",4,"65","106",4
"3300",3.75,"397","540",4
"3301",5,"107","68",1
"3302",4.86,"339","453",7
"3303",3.86,"177","241",7
"3304",3,"141","141",4
"3305",3,"1187","78",11
"3310",0,"210","41",0
"3323",5,"136","183",1
"3324",0,"78","277",0
"3327",0,"283","256",0
"3328",5,"109","103",1
"3329",5,"168","139",5
"3334",0,"17","106",0
"3335",3,"304","17",1
"3336",5,"295","103",15
"3337",0,"188","369",0
"3338",1.84,"11522","140",19
"3339",0,"36","62",0
"3342",1,"66","16",1
"3345",5,"58","251",1
"3346",4.39,"1581","181",80
"3349",4.87,"35120","336",38
"3350",3.34,"1725","114",38
"3353",5,"104","253",10
"3354",3.73,"6121","234",11
"3355",3.55,"1044","30",11
"3356",3.67,"400","276",3
"3373",5,"242","570",1
"3374",4.85,"5965","226",20
"3377",5,"255","145",1
"3378",5,"530","30",1
"3379",2.5,"714","30",6
"3380",4.33,"5853","168",40
"3393",5,"1212","395",6
"3396",4.55,"996","4",20
"3399",5,"160","30",5
"3404",4.68,"3084","341",25
"3405",4.67,"384","30",3
"3406",4.74,"11562","47",19
"3411",4.5,"1972","213",2
"3412",4.83,"11210","156",23
"3429",5,"6310","81",34
"3430",5,"1254","211",1
"3433",0,"1748","96",0
"3434",4.29,"23038","393",21
"3435",4.9,"404933","335",801
"3436",4.69,"18439","587",29
"3437",4.27,"8809","325",11
"3438",3,"1691","248",3
"3439",5,"1189","255",4
"3440",4.85,"5568","312",27
"3441",0,"271","334",0
"3442",2.4,"2266","38",5
"3443",2.91,"4135","29",11
"3444",4.97,"13020","252",30
"3445",5,"12513","215",19
"3446",4.9,"6759","178",10
"3447",5,"29204","250",20
"3448",4.71,"8902","75",14
"3449",5,"3071","123",4
"3450",5,"8199","141",6
"3451",4.75,"16916","130",28
"3452",4.38,"9413","303",16
"3453",5,"9070","227",24
"3454",4.94,"10712","215",18
"3455",4.67,"7520","179",12
"3458",4.67,"490","191",3
"3459",0,"488","18",0
"3460",5,"5659","174",3
"3463",4.67,"4727","114",12
"3464",3.75,"2722","35",4
"3465",5,"3686","162",6
"3468",5,"6432","255",4
"3469",5,"10670","154",16
"3470",4.6,"6484","135",5
"3471",5,"1293","380",2
"3472",5,"1490","611",7
"3475",3.75,"2742","267",4
"3478",4,"2977","352",6
"3479",0,"288","57",0
"3480",4.71,"9099","138",17
"3481",4.6,"631","486",5
"3482",4.2,"2626","265",5
"3483",4.5,"271","210",2
"3484",5,"1249","140",5
"3485",5,"420","286",1
"3486",5,"2583","68",5
"3487",0,"225","85",0
"3488",0,"1926","215",0
"3489",0,"274","298",0
"3492",0,"263","283",0
"3493",5,"1797","140",2
"3494",5,"1411","181",1
"3495",4.2,"577","71",5
"3498",5,"4116","36",2
"3499",4.89,"13254","144",9
"3500",4.14,"8808","58",7
"3503",5,"2028","99",2
"3504",4.45,"20810","303",40
"3505",0,"5248","126",0
"3506",0,"3285","59",0
"3507",3.67,"4051","219",3
"3508",4.83,"39504","263",12
"3509",4.64,"63839","376",45
"3510",4.29,"15797","275",7
"3511",4.8,"28213","305",5
"3514",5,"3449","279",1
"3517",4.85,"10615","324",13
"3518",3.47,"9522","215",15
"3519",4.92,"3819","243",13
"3520",4.82,"48482","218",17
"3523",5,"7006","130",2
"3524",5,"2493","293",2
"3525",4.5,"4368","199",8
"3526",0,"1025","277",0
"3527",0,"389","246",0
"3528",5,"4275","240",8
"3529",4.5,"15720","242",12
"3530",5,"6836","226",8
"3531",4.61,"15058","256",23
"3532",4.14,"10771","228",14
"3533",4.71,"3279","125",7
"3534",5,"1667","293",5
"3535",5,"961","285",3
"3536",0,"619","199",0
"3537",4,"1423","86",4
"3538",4.22,"4316","231",9
"3539",0,"349","293",0
"3540",4.8,"1368","89",5
"3541",4,"342","59",2
"3550",2.69,"7503","180",36
"3551",3,"683","32",2
"3552",3.75,"1630","112",4
"3557",3.72,"8453","318",18
"3558",0,"1276","50",0
"3567",4.75,"663","234",4
"3568",4.33,"1622","206",12
"3569",4.57,"622","204",7
"3570",0,"266","228",0
"3571",3.2,"351","180",5
"3574",5,"146","224",3
"3577",4.07,"6210","344",15
"3578",5,"720","235",5
"3579",4,"1010","214",1
"3580",0,"58","179",0
"3583",4.82,"18599","326",49
"3586",3.5,"522","255",2
"3591",4.79,"47338","326",146
"3592",0,"61","516",0
"3593",5,"886","217",11
"3594",5,"157","308",3
"3595",5,"384","442",7
"3596",5,"433","658",18
"3599",1.33,"388","115",3
"3602",1,"108","571",1
"3603",5,"202","228",2
"3604",0,"8","121",0
"3605",4.67,"711","101",6
"3606",0,"46","118",0
"3607",0,"24","239",0
"3610",1,"48","599",1
"3611",0,"35","396",0
"3616",5,"494","221",4
"3617",0,"1153","79",0
"3636",3.67,"4006","25",3
"3637",4.83,"763","144",6
"3638",4.92,"14678","151",24
"3641",5,"3785","237",11
"3642",3.92,"9831","55",12
"3643",4.64,"5248","5",11
"3644",4.77,"27368","245",39
"3645",4.74,"18717","19",39
"3648",3.78,"12518","199",23
"3649",2.4,"2681","407",5
"3654",5,"2902","212",9
"3655",4.78,"2550","237",9
"3656",5,"481","171",1
"3657",5,"440","206",5
"3658",5,"192","557",3
"3659",3,"56","128",4
"3660",5,"367","174",1
"3661",5,"184","312",4
"3662",5,"451","322",7
"3663",5,"457","150",8
"3664",4.78,"1309","507",9
"3665",5,"1845","135",18
"3666",5,"178","106",5
"3667",4.74,"19484","597",47
"3668",5,"128","58",1
"3669",5,"190","195",1
"3670",4.2,"82","140",5
"3671",5,"162","162",2
"3672",5,"131","208",3
"3675",5,"161","223",5
"3678",5,"124","517",4
"3679",5,"147","220",1
"3680",5,"547","312",9
"3681",0,"62","299",0
"3682",5,"67","208",2
"3683",5,"126","154",2
"3684",5,"97","252",1
"3685",5,"114","278",3
"3686",5,"231","206",2
"3687",4.8,"202","215",5
"3688",4.5,"198","129",2
"3689",4.67,"69","82",3
"3690",4.9,"4671","221",10
"3691",5,"2972","227",14
"3692",5,"50","184",3
"3693",4.71,"16402","382",35
"3696",5,"190","82",1
"3697",5,"6415","421",22
"3698",5,"543","119",4
"3699",5,"210","102",2
"3700",4.92,"3417","181",13
"3701",5,"560","185",6
"3702",5,"184","147",2
"3703",5,"2726","173",23
"3704",5,"135","165",1
"3705",5,"168","197",4
"3706",5,"351","161",2
"3707",0,"553","220",0
"3708",5,"95","279",2
"3709",3,"204","148",4
"3714",5,"284","378",5
"3715",4,"132","189",2
"3716",3.29,"519","65",7
"3719",5,"678","244",7
"3720",5,"202","325",4
"3721",0,"87","173",0
"3722",4.62,"298","252",8
"3723",4.33,"1376","609",6
"3724",5,"82","152",2
"3727",5,"267","111",3
"3728",4.89,"401","375",9
"3731",4.7,"2861","151",20
"3732",4.67,"4445","231",18
"3733",0,"530","31",0
"3736",4.88,"3053","40",8
"3737",4,"2450","38",11
"3738",4.71,"6829","53",14
"3741",3.67,"2480","94",9
"3742",4.84,"1159","166",19
"3743",5,"1764","266",4
"3744",4.55,"32884","364",94
"3745",5,"359","658",6
"3746",5,"1064","58",4
"3747",2,"200","221",3
"3748",4.88,"341","65",8
"3749",5,"273","127",2
"3756",5,"1236","474",5
"3759",5,"223","320",5
"3760",5,"131","455",2
"3761",4.79,"6564","162",33
"3762",5,"296","18",1
"3765",4.64,"1232","422",11
"3768",5,"4912","63",12
"3769",4.89,"2058","196",9
"3772",5,"550","659",5
"3773",4.67,"611","266",3
"3782",5,"852","177",4
"3785",5,"1565","535",3
"3786",4.91,"1900","477",11
"3787",4.8,"5116","565",30
"3788",5,"2657","411",8
"3789",5,"1299","148",13
"3792",4.5,"191","227",2
"3793",4.33,"397","69",3
"3794",5,"298","212",1
"3797",5,"134","9",2
"3800",4.17,"10809","90",18
"3801",4.75,"6962","588",16
"3802",0,"207","117",0
"3803",3.89,"1334","180",9
"3804",0,"91","216",0
"3805",0,"194","30",0
"3812",5,"591","287",1
"3813",4.78,"35825","229",112
"3816",4.9,"23216","386",122
"3817",0,"795","36",0
"3818",4.6,"2732","342",5
"3819",3.5,"1072","247",8
"3820",5,"281","145",5
"3821",5,"114","302",3
"3822",5,"328","160",1
"3823",5,"332","141",1
"3826",0,"57","213",0
"3827",0,"134","177",0
"3836",0,"165","35",0
"3837",4.36,"7010","336",11
"3838",0,"479","277",0
"3839",4,"615","158",2
"3846",5,"1659","595",3
"3847",3,"5297","201",2
"3850",0,"123","101",0
"3851",4.8,"1624","400",5
"3858",3.67,"920","397",3
"3859",1.29,"2842","25",7
"3860",0,"530","11",0
"3863",4.71,"36772","279",70
"3864",3.33,"4164","163",6
"3865",4.69,"6065","224",16
"3866",1,"315","27",1
"3867",1,"752","51",2
"3868",0,"45","10",0
"3869",5,"1154","156",1
"3870",0,"61","11",0
"3871",5,"332","118",1
"3872",0,"422","49",0
"3873",0,"504","10",0
"3874",0,"105","274",0
"3875",1,"124","73",1
"3876",4.86,"12927","117",7
"3877",0,"86","3",0
"3878",4,"598","198",1
"3881",1,"205","5",1
"3882",0,"125","33",0
"3883",5,"177","9",1
"3884",0,"488","34",0
"3885",5,"750","74",3
"3886",4.5,"3482","558",8
"3887",4.75,"50943","437",123
"3888",4.75,"8079","375",4
"3889",0,"628","104",0
"3890",5,"2543","40",3
"3891",4.5,"3087","212",8
"3892",5,"215","336",4
"3893",5,"787","56",6
"3894",5,"3479","237",10
"3895",4.27,"7034","63",11
"3896",4,"1004","15",4
"3897",3.67,"2794","22",3
"3898",4,"5511","232",13
"3899",4.9,"21303","192",31
"3900",2.68,"7042","98",19
"3901",3,"5968","12",2
"3902",3.6,"1220","259",5
"3903",2.75,"7793","222",4
"3904",5,"455","149",1
"3905",4.67,"6593","75",12
"3906",4.79,"17107","143",39
"3907",0,"321","54",0
"3908",5,"859","86",7
"3909",3.88,"1056","208",8
"3910",5,"194","65",3
"3913",5,"151","252",2
"3914",5,"202","97",4
"3915",0,"122","158",0
"3918",0,"26","70",0
"3919",4.33,"1575","76",6
"3920",0,"2638","41",0
"3921",4.59,"24871","60",37
"3922",5,"3220","57",2
"3923",3,"422","140",2
"3926",0,"204","59",0
"3927",2.33,"323","68",3
"3928",4.68,"17278","543",41
"3929",4,"595","59",4
"3930",5,"2265","389",6
"3931",0,"312","33",0
"3932",0,"531","261",0
"3933",0,"79","35",0
"3934",4.67,"3711","159",3
"3935",4.93,"4737","166",15
"3936",3.2,"1656","41",5
"3937",1,"885","51",2
"3938",5,"11149","10",12
"3939",4.75,"4987","57",8
"3942",4.88,"2482","305",17
"3947",4.88,"10144","12",8
"3948",5,"487","59",2
"3949",4.43,"3164","34",7
"3950",4.64,"14628","10",11
"3951",4,"1136","10",1
"3952",5,"6191","198",6
"3953",1.57,"1095","225",7
"3954",4.25,"1504","98",4
"3957",4.5,"2090","161",2
"3958",2,"1913","70",1
"3959",4.67,"1367","600",3
"3960",4.2,"4405","463",10
"3961",4,"2071","164",4
"3962",4.25,"1594","200",4
"3963",3.75,"1585","172",4
"3964",4.73,"37969","59",15
"3965",4.59,"355596","192",353
"3966",4.5,"10481","166",14
"3967",4.98,"30770","631",62
"3968",5,"6600","269",7
"3971",5,"1140","207",1
"3972",3.11,"4470","126",9
"3973",4.31,"8848","130",13
"3974",4.8,"13598","23",5
"3975",5,"1118","81",1
"3978",5,"7375","164",2
"3979",0,"68","41",0
"3980",0,"83","47",0
"3981",0,"31","13",0
"3982",0,"45","16",0
"3983",0,"32","39",0
"3984",0,"56","43",0
"3985",0,"42","32",0
"3986",0,"30","34",0
"3987",0,"43","36",0
"3988",5,"66","56",1
"3989",0,"158","22",0
"3990",5,"1155","62",4
"3991",0,"21","38",0
"3992",0,"32","34",0
"3993",0,"47","57",0
"3994",0,"47","48",0
"3995",0,"29","37",0
"3996",5,"85","34",1
"3997",5,"2912","102",9
"3998",4.71,"17480","22",34
"3999",3,"1344","399",2
"4002",5,"4003","60",2
"4003",4.92,"8029","233",13
"4004",4.33,"888","395",3
"4005",3.39,"32312","208",57
"4006",5,"2087","410",3
"4007",4.89,"24772","168",54
"4008",5,"3214","105",3
"4009",4.75,"36395","50",55
"4010",4.86,"3239","72",7
"4013",5,"8190","20",1
"4014",0,"1353","407",0
"4015",5,"1475","79",1
"4016",4.86,"1737","400",7
"4017",0,"396","10",0
"4018",4.75,"675","17",4
"4019",0,"164","6",0
"4020",4,"1218","11",1
"4021",0,"103","25",0
"4022",4.6,"11388","525",20
"4027",0,"425","6",0
"4028",5,"627","401",1
"4029",4.92,"185729","257",199
"4030",5,"835","240",2
"4031",5,"496","122",3
"4032",0,"1296","207",0
"4033",4.86,"13819","229",14
"4034",4.91,"25223","219",22
"4035",0,"413","521",0
"4036",0,"91","428",0
"4037",2.38,"6924","181",8
"4038",4.71,"14694","69",17
"4039",0,"115","39",0
"4040",0,"136","195",0
"4041",0,"323","210",0
"4042",5,"330","10",1
"4043",4.67,"20388","545",15
"4044",0,"223","270",0
"4045",3.67,"3236","216",3
"4046",3.67,"1384","363",3
"4047",4,"2528","394",9
"4048",5,"1149","303",2
"4049",4.64,"7821","307",11
"4050",4.2,"1738","148",5
"4053",4.33,"35332","204",18
"4054",4.15,"6704","133",13
"4055",4.38,"12724","165",8
"4056",4.6,"44413","239",15
"4057",4.73,"25872","252",15
"4058",4.17,"10474","138",6
"4061",4.58,"25162","166",12
"4062",4.8,"15094","481",5
"4063",4.71,"11200","541",14
"4074",4.64,"45998","445",39
"4075",5,"17610","125",5
"4076",4.69,"55829","257",13
"4081",4.92,"86118","599",36
"4082",4.33,"9422","541",6
"4083",5,"10184","541",12
"4084",4.93,"11223","541",15
"4085",4.62,"40517","274",16
"4086",5,"656","91",1
"4087",4.92,"87738","99",13
"4088",5,"769","251",3
"4089",5,"164","288",2
"4090",5,"964","128",1
"4091",4,"828","284",1
"4092",4.43,"495","230",7
"4095",5,"10130","214",2
"4096",5,"3882","59",2
"4097",4.86,"6465","274",14
"4098",5,"182","273",3
"4099",0,"509","416",0
"4100",4.7,"27501","233",56
"4101",4.29,"3513","186",7
"4102",5,"2462","108",3
"4103",4.53,"43082","273",77
"4104",0,"107","181",0
"4107",3,"679","163",2
"4108",5,"573","133",1
"4109",5,"2649","331",5
"4112",4.89,"4477","208",19
"4113",5,"1923","208",3
"4114",5,"4492","199",5
"4115",5,"1567","177",5
"4116",0,"387","250",0
"4117",0,"76","203",0
"4118",0,"132","203",0
"4119",0,"167","222",0
"4120",4.6,"17216","63",10
"4121",5,"1310","92",2
"4122",5,"388","129",3
"4123",0,"255","54",0
"4124",4.57,"22294","238",23
"4125",5,"960","118",1
"4126",0,"152","200",0
